Collision detected: CollisionEvent(frame=112337, timestamp=2017.345459, other_actor=0000012136CC8720)
Collision detected: CollisionEvent(frame=112338, timestamp=2017.364195, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112338, timestamp=2017.364195, other_actor=0000012136CC8720)
Collision detected: CollisionEvent(frame=112339, timestamp=2017.383514, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112339, timestamp=2017.383514, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112340, timestamp=2017.401963, other_actor=0000012136CC8A80)
Collision detected: CollisionEvent(frame=112340, timestamp=2017.401963, other_actor=0000012136CC8960)
Collision detected: CollisionEvent(frame=112341, timestamp=2017.420621, other_actor=0000012136CC84E0)
Collision detected: CollisionEvent(frame=112342, timestamp=2017.439630, other_actor=0000012136CC8060)
Collision detected: CollisionEvent(frame=112342, timestamp=2017.439630, other_actor=0000012136CC8BA0)
Collision detected: CollisionEvent(frame=112343, timestamp=2017.460181, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112343, timestamp=2017.460181, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112344, timestamp=2017.478872, other_actor=0000012136CC8DE0)
Collision detected: CollisionEvent(frame=112344, timestamp=2017.478872, other_actor=0000012136CC8BA0)
Collision detected: CollisionEvent(frame=112345, timestamp=2017.497411, other_actor=0000012136CC8A80)
Collision detected: CollisionEvent(frame=112345, timestamp=2017.497411, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112346, timestamp=2017.516327, other_actor=0000012136CC8DE0)
Collision detected: CollisionEvent(frame=112346, timestamp=2017.516327, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112347, timestamp=2017.535552, other_actor=0000012136CC8060)
Collision detected: CollisionEvent(frame=112347, timestamp=2017.535552, other_actor=0000012136CC8600)
Collision detected: CollisionEvent(frame=112348, timestamp=2017.554912, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112348, timestamp=2017.554912, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112349, timestamp=2017.574101, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112349, timestamp=2017.574101, other_actor=0000012136CC8CC0)
Collision detected: CollisionEvent(frame=112350, timestamp=2017.592714, other_actor=0000012136CC84E0)
Collision detected: CollisionEvent(frame=112350, timestamp=2017.592714, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112351, timestamp=2017.611886, other_actor=0000012136CC8A80)
Collision detected: CollisionEvent(frame=112351, timestamp=2017.611886, other_actor=0000012136CC8180)
Collision detected: CollisionEvent(frame=112352, timestamp=2017.630205, other_actor=0000012136CC83C0)
Collision detected: CollisionEvent(frame=112352, timestamp=2017.630205, other_actor=0000012136CC8060)
